,Unnamed: 0,Age,Gender,Occupation,Days_Indoors,Growing_Stress,Quarantine_Frustrations,Changes_Habits,Mental_Health_History,Weight_Change,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
0,197,20-25,Female,Business,1-14 days,Yes,Yes,Yes,No,Yes,Low,No,Yes,Yes
1,709,30-Above,Female,Business,31-60 days,No,Yes,Yes,Yes,Yes,Medium,Yes,Yes,Yes
2,337,20-25,Female,Corporate,1-14 days,Yes,No,Yes,Yes,No,High,No,Yes,No
3,515,30-Above,Female,Corporate,1-14 days,Yes,No,Yes,Yes,Yes,High,Yes,No,No
4,540,20-25,Male,Housewife,1-14 days,No,Yes,Yes,No,Yes,Medium,No,Yes,No
5,161,20-25,Male,Housewife,Go out Every day,Yes,Yes,Yes,Yes,Yes,Medium,No,Yes,Yes
6,506,25-30,Female,Housewife,15-30 days,No,Yes,Yes,Yes,Yes,Medium,No,No,No
7,455,25-30,Female,Business,1-14 days,Yes,Yes,Yes,Yes,No,Medium,Yes,Yes,No
8,806,16-20,Female,Corporate,Go out Every day,Yes,No,No,No,No,Medium,Yes,Yes,Yes
9,487,30-Above,Male,Business,31-60 days,No,Yes,Yes,Yes,Yes,Medium,No,Yes,Yes
10,297,20-25,Female,Corporate,More than 2 months,Yes,Yes,Yes,Yes,No,High,Yes,Yes,No
11,791,25-30,Male,Business,More than 2 months,Yes,Yes,Yes,Yes,No,Medium,No,No,Yes
12,383,20-25,Male,Corporate,31-60 days,No,No,No,No,Yes,Medium,Yes,Yes,Yes
13,745,16-20,Male,Corporate,Go out Every day,Yes,No,Yes,Yes,Yes,High,Yes,Yes,Yes
14,576,20-25,Male,Housewife,1-14 days,Yes,Yes,No,Yes,Yes,High,No,Yes,No
15,254,25-30,Female,Housewife,More than 2 months,No,Yes,No,Yes,Yes,High,No,Yes,No
16,173,30-Above,Female,Business,Go out Every day,Yes,Yes,Yes,No,Yes,Low,No,Yes,No
17,26,30-Above,Male,Student,15-30 days,Yes,Yes,No,Yes,Yes,Medium,No,Yes,Yes
18,407,20-25,Female,Housewife,31-60 days,Yes,Yes,Yes,No,No,Low,Yes,Yes,Yes
19,348,16-20,Female,Housewife,Go out Every day,Yes,No,No,No,No,Low,Yes,Yes,Yes
20,818,16-20,Male,Corporate,31-60 days,No,No,Yes,Yes,Yes,Medium,Yes,No,Yes
21,620,30-Above,Male,Housewife,31-60 days,Yes,Yes,No,Yes,No,High,Yes,Yes,No
22,582,30-Above,Female,Housewife,Go out Every day,No,No,No,No,Yes,Low,Yes,No,Yes
23,441,16-20,Male,Housewife,1-14 days,No,Yes,Yes,No,No,Low,No,Yes,Yes
24,669,20-25,Female,Others,More than 2 months,No,Yes,Yes,No,No,Medium,No,No,No
25,649,20-25,Female,Housewife,15-30 days,No,No,No,Yes,Yes,High,No,No,No
26,483,20-25,Female,Housewife,31-60 days,Yes,Yes,No,Yes,Yes,Medium,No,Yes,Yes
27,325,25-30,Female,Business,Go out Every day,Yes,Yes,Yes,No,Yes,High,Yes,No,No
28,467,30-Above,Male,Business,15-30 days,No,Yes,Yes,No,Yes,High,No,Yes,Yes
29,677,25-30,Female,Others,15-30 days,No,No,No,Yes,No,Medium,Yes,Yes,No
30,613,20-25,Female,Others,31-60 days,Yes,Yes,Yes,No,No,Medium,No,Yes,Yes
31,377,16-20,Female,Others,1-14 days,Yes,Yes,Yes,Yes,No,High,No,No,Yes
32,395,30-Above,Female,Housewife,1-14 days,Yes,Yes,Yes,Yes,Yes,High,No,No,Yes
33,281,30-Above,Male,Corporate,More than 2 months,Yes,No,No,Yes,Yes,Medium,Yes,Yes,Yes
34,612,20-25,Male,Housewife,More than 2 months,No,Yes,No,Yes,Yes,High,Yes,No,No
35,505,25-30,Male,Business,31-60 days,No,Yes,Yes,Yes,Yes,Low,No,Yes,Yes
36,563,30-Above,Female,Student,31-60 days,No,No,Yes,No,No,High,No,No,Yes
37,780,30-Above,Male,Housewife,31-60 days,Yes,Yes,No,Yes,Yes,Medium,No,Yes,Yes
38,79,30-Above,Male,Business,31-60 days,Yes,Yes,Yes,No,Yes,Medium,Yes,Yes,Yes
39,516,30-Above,Female,Student,15-30 days,No,No,Yes,No,Yes,Medium,Yes,Yes,Yes
40,300,25-30,Male,Housewife,1-14 days,Yes,Yes,Yes,No,Yes,Low,No,Yes,No
41,764,30-Above,Male,Housewife,More than 2 months,Yes,No,Yes,No,Yes,High,No,Yes,Yes
42,157,30-Above,Female,Housewife,Go out Every day,Yes,Yes,Yes,Yes,Yes,Medium,No,Yes,Yes
43,409,30-Above,Male,Others,Go out Every day,Yes,Yes,Yes,Yes,Yes,High,Yes,Yes,No
44,568,16-20,Female,Student,31-60 days,No,No,Yes,No,Yes,Medium,No,Yes,Yes
45,609,30-Above,Male,Others,More than 2 months,Yes,No,Yes,No,Yes,Low,No,Yes,Yes
46,83,30-Above,Male,Corporate,More than 2 months,Yes,Yes,Yes,Yes,No,Medium,No,Yes,Yes
47,559,30-Above,Male,Others,Go out Every day,No,Yes,No,No,Yes,Medium,No,No,Yes
48,415,16-20,Female,Others,1-14 days,No,No,Yes,Yes,Yes,Low,Yes,Yes,Yes
49,571,16-20,Female,Business,15-30 days,Yes,Yes,Yes,Yes,Yes,Medium,No,Yes,Yes
50,514,16-20,Female,Student,More than 2 months,Yes,No,Yes,Yes,Yes,Low,Yes,Yes,Yes
