,Unnamed: 0,Age,Gender,Occupation,Days_Indoors,Growing_Stress,Quarantine_Frustrations,Changes_Habits,Mental_Health_History,Weight_Change,Mood_Swings,Coping_Struggles,Work_Interest,Social_Weakness
0,802,16-20,Male,Student,1-14 days,No,No,No,No,No,Low,Yes,Yes,Yes
1,805,16-20,Male,Housewife,15-30 days,Yes,Yes,No,Yes,Yes,Medium,No,No,Yes
2,464,30-Above,Male,Student,31-60 days,Yes,No,No,No,Yes,High,Yes,No,Yes
3,694,20-25,Female,Student,1-14 days,No,No,Yes,Yes,No,Medium,No,Yes,Yes
4,13,30-Above,Female,Housewife,15-30 days,Yes,Yes,Yes,No,No,Low,Yes,No,Yes
5,483,20-25,Female,Housewife,31-60 days,Yes,Yes,No,Yes,Yes,Medium,No,Yes,Yes
6,185,25-30,Male,Others,1-14 days,Yes,Yes,Yes,Yes,Yes,Medium,Yes,Yes,Yes
7,724,25-30,Female,Corporate,31-60 days,Yes,Yes,No,Yes,No,Low,No,Yes,No
8,169,30-Above,Male,Corporate,15-30 days,Yes,Yes,No,No,Yes,High,Yes,Yes,No
9,769,16-20,Female,Business,Go out Every day,Yes,Yes,No,No,Yes,Medium,Yes,Yes,Yes
10,247,16-20,Female,Corporate,More than 2 months,Yes,Yes,Yes,No,Yes,Low,Yes,Yes,Yes
11,772,16-20,Male,Corporate,1-14 days,Yes,Yes,Yes,No,Yes,High,No,No,No
12,94,25-30,Female,Others,31-60 days,No,Yes,Yes,Yes,No,Medium,No,No,Yes
13,537,30-Above,Male,Housewife,1-14 days,Yes,Yes,Yes,No,Yes,Low,No,Yes,No
14,666,16-20,Male,Student,31-60 days,Yes,Yes,Yes,Yes,No,Medium,No,No,Yes
15,583,20-25,Female,Business,31-60 days,Yes,No,No,No,No,Low,No,Yes,No
16,397,25-30,Female,Student,Go out Every day,Yes,Yes,No,No,Yes,High,No,No,No
17,634,25-30,Female,Student,Go out Every day,No,No,No,Yes,Yes,High,Yes,No,No
18,233,20-25,Female,Business,Go out Every day,Yes,No,Yes,No,Yes,Low,Yes,Yes,Yes
19,300,25-30,Male,Housewife,1-14 days,Yes,Yes,Yes,No,Yes,Low,No,Yes,No
20,587,20-25,Female,Corporate,15-30 days,Yes,No,Yes,Yes,No,Low,No,Yes,Yes
21,170,25-30,Male,Corporate,15-30 days,Yes,Yes,No,No,Yes,Medium,No,No,Yes
22,191,25-30,Female,Others,15-30 days,Yes,Yes,Yes,No,No,Low,No,Yes,Yes
23,148,16-20,Female,Business,31-60 days,No,Yes,No,Yes,No,High,No,Yes,Yes
24,485,16-20,Female,Student,Go out Every day,No,Yes,Yes,Yes,Yes,Low,No,No,Yes
